regime,max_cycle,max_chain,method_label,solution_rank,row_count,mean_gap_to_oracle,median_gap_to_oracle,mean_normalized_gap_to_oracle,median_normalized_gap_to_oracle,exact_oracle_rate,near_1pct_rate,near_5pct_rate,mean_predicted_margin_from_best,median_predicted_margin_from_best,mean_edge_jaccard_with_oracle,median_edge_jaccard_with_oracle
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,1,800,41.93719517647289,39.284998655319214,0.2026742384350781,0.16837311854090706,0.04125,0.04125,0.10375,0.0,0.0,0.4330019538084414,0.39230769230769236
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,2,800,33.81552357156761,25.782700061798096,0.16201000268280993,0.12512530552933618,0.1,0.15125,0.15125,0.9129719517128003,0.6672773831045475,0.46547444247580166,0.46153846153846156
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,3,800,35.49397472553886,27.504600763320923,0.17427155580134024,0.1447009401684745,0.17125,0.1825,0.18375,1.5965875067137965,1.3468583319866951,0.5120367158664475,0.4
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,4,800,31.71455959847197,17.68935003876686,0.15628565888933818,0.07837469955851643,0.0,0.06375,0.32875,2.182931821226541,2.148495289602778,0.5044651238650125,0.4666666666666667
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,5,800,32.23600780750625,26.333599030971527,0.15639079296310618,0.12611840378194347,0.0,0.0,0.195,2.6934131742918463,2.6678971036784276,0.4969095928127075,0.4444444444444444
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,6,800,34.05812036001124,28.800200909376144,0.16306578209121864,0.13668972314927041,0.0,0.0625,0.12375,2.994742446165278,3.133360164517221,0.4716201132339,0.4444444444444444
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,7,800,37.307572682043535,33.65299892425537,0.18010295329810141,0.14655731859644788,0.0,0.00625,0.25625,3.418195076994327,3.5242865899503926,0.4685786496492808,0.44
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,8,800,36.47539043667726,28.398598611354828,0.1777521810362273,0.17219516502528706,0.0,0.1175,0.1875,3.650452890102242,3.8334136759614665,0.4720743174223052,0.44
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,9,800,37.14902059954591,33.957700937986374,0.17163317298763084,0.1498974407046914,0.00125,0.07875,0.15,3.842049774685386,3.9659328415237454,0.47427632367804257,0.4444444444444444
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,10,800,37.80036631783471,28.960102260112762,0.18089559183896406,0.13760430306266633,0.01625,0.0475,0.095,4.076077063134171,4.115372218907908,0.47292812340620216,0.4074074074074074
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,11,800,32.874659852935004,30.36600261926651,0.15016857331119043,0.13760430306266633,0.045,0.0475,0.25,4.2817416996491495,4.570366142102628,0.4919072439138505,0.4583333333333333
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,12,800,41.3106089677941,34.64120110869408,0.19340082442629408,0.18030830633879658,0.0,0.01625,0.13375,4.419836318310876,4.716436345681728,0.4585168531365246,0.4166666666666667
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,13,800,40.08577813796699,33.91050112247467,0.18701863389793769,0.1806231687406186,0.0,0.07375,0.18375,4.547051315696604,4.858568360364842,0.46033758018104626,0.43478260869565216
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,14,800,38.8343626618525,36.06150000914931,0.1872124329259771,0.15105611103651462,0.0,0.04625,0.2125,4.756134275399766,5.014200604779447,0.4772428615428219,0.46153846153846156
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,15,800,40.79010388740804,35.12570250034332,0.19298840296053743,0.1583484150307576,0.0,0.065,0.13875,4.975936803781741,5.032643307730368,0.4876874164699998,0.46153846153846156
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,16,800,41.13362221076153,40.28779983520508,0.1954563193153784,0.18932555133136678,0.0,0.00125,0.135,5.1404527548275665,5.346072328282261,0.4627155322109957,0.42857142857142855
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,17,800,42.87416493467987,36.21659988164902,0.20802317387932906,0.17808600066500843,0.0,0.0125,0.10625,5.246653474751521,5.433021185353596,0.4694318437536038,0.4074074074074074
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,18,800,42.77184868574608,38.59419846534729,0.20539415228097999,0.16764648339480046,0.0,0.04125,0.0625,5.3548826476204,5.525298263888985,0.447648685627397,0.37386569872958253
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,19,800,42.04744123433251,37.67540097236633,0.20362736744773827,0.20317898626374079,0.0,0.0075,0.02375,5.486646702461956,5.585292640679469,0.425629741781541,0.41379310344827586
step2c_poly_d8_mult_eps050,3,4,2stage_val_mse,20,800,40.913138464675285,35.57120227813721,0.19763803320264148,0.16061265286332263,0.0,0.0,0.01125,5.629847020661631,5.652863035576502,0.4401130498049661,0.43478260869565216
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,1,800,24.542305654902012,7.281599521636963,0.1204919259089434,0.03163000144666207,0.2,0.325,0.635,0.0,0.0,0.5726987254140778,0.5217391304347826
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,2,800,28.993520230250432,16.248700618743896,0.14442255898552958,0.059438600953407875,0.02125,0.0225,0.4825,1.144437286280231,1.0779353604954167,0.5179044578471095,0.4583333333333333
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,3,800,28.21086435806006,19.089200496673584,0.13929255522471423,0.10656535122529966,0.035,0.0925,0.325,1.9751442848834568,2.212971533097658,0.529152890295959,0.46153846153846156
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,4,800,27.615606612367557,24.687199145555496,0.13134490109878252,0.09692688103605586,0.025,0.14625,0.28625,2.4939356960735237,2.5207909155215873,0.49779278546858485,0.4583333333333333
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,5,800,30.813855526982806,26.59969997406006,0.1490896923866611,0.11633640399545966,0.03,0.11875,0.24,2.895730416181722,2.8383822649080344,0.4767803638882729,0.4782608695652174
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,6,800,28.624668682054615,22.92309945821762,0.1388873558379836,0.09880746507142779,0.01125,0.11375,0.31625,3.4683574344613772,3.2919898071622384,0.5052991167094973,0.47246376811594204
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,7,800,32.959388016210866,22.92309945821762,0.15860296484773642,0.09880746507142779,0.0325,0.03625,0.27,3.8349535707547107,3.907185881578471,0.539357258608404,0.5217391304347826
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,8,800,31.862897820882498,22.864899456501007,0.15467797926718357,0.082738907725334,0.02,0.08,0.28625,4.149219516123659,4.110113493226677,0.5384299451106009,0.5
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,9,800,30.902942261132413,24.70789909362793,0.15000390098959135,0.12418017085388351,0.0075,0.04875,0.27375,4.573753275858653,4.403557607367446,0.5313955509884439,0.4782608695652174
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,10,800,31.84312492071185,27.76529958844185,0.15270383277463206,0.1315052274954841,0.005,0.0225,0.2175,4.807341210699402,4.52263771522118,0.5085672457619291,0.46153846153846156
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,11,800,34.61544959121384,32.09240052103996,0.16636560707129275,0.1390334373632704,0.0,0.0475,0.15375,5.144742840381228,4.784118826714888,0.4891556129562356,0.4444444444444444
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,12,800,34.730027947053316,25.05590009689331,0.16929450942716326,0.13335742670229053,0.00625,0.03625,0.175,5.446753576283703,4.978824042023689,0.45350863935743296,0.4444444444444444
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,13,800,33.420093949651346,27.95089963078499,0.1613434518239727,0.13760430306266633,0.0225,0.0725,0.20875,5.678312520263931,5.154024099722491,0.512107518234798,0.45454545454545453
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,14,800,33.32701590171084,28.7742977142334,0.1611889589511318,0.13760430306266633,0.01875,0.02125,0.16,5.901382297914694,5.266968240767241,0.5064741374032448,0.5
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,15,800,36.989341801744885,30.27409964799881,0.18099586635220127,0.13760430306266633,0.0125,0.01375,0.12,6.127401842930758,5.539084866118671,0.47045989342789135,0.38461538461538464
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,16,800,39.99245201302692,34.88289934396744,0.1912969382658881,0.15443749789118155,0.00875,0.00875,0.0775,6.355063343245941,5.846406356574221,0.4639584031602405,0.4
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,17,800,36.49088036827743,30.413151025772095,0.1777782847319404,0.15225650180058148,0.005,0.005,0.09625,6.592906911796383,6.012334418369861,0.45897013383350355,0.44
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,18,800,36.204649608409966,28.800200909376144,0.17609074946888206,0.1405591551001271,0.00125,0.00125,0.06375,6.813276087298966,6.132580892899554,0.4628607064222941,0.45
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,19,800,36.740595513917505,30.55220240354538,0.1791820739395931,0.1385281343133341,0.0125,0.0125,0.05125,7.030297039892353,6.209996192051165,0.4519242910354919,0.4
step2c_poly_d8_mult_eps050,3,4,spoplus_val_spoplus_loss,20,800,39.32506366228219,34.22849893569946,0.19082964653440052,0.14868264419599078,0.00125,0.00125,0.06875,7.194054615246792,6.3735838949730805,0.44991040400771776,0.4
