case_id,case_label,base_graph_id,subset_seed,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,added_arc_count,removed_arc_count,method_label,oracle_obj,oracle_obj_delta_vs_original,oracle_obj_relative_delta_vs_original,oracle_solution_changed_vs_original,rank1_true_obj,rank2_true_obj,rank1_gap_to_oracle,rank2_gap_to_oracle,rank2_minus_rank1_gap_to_oracle,rank1_normalized_gap_to_oracle,rank2_normalized_gap_to_oracle,rank2_minus_rank1_normalized_gap,rank1_near_1pct,rank2_near_1pct,rank1_near_5pct,rank2_near_5pct,rank1_solution_changed_vs_original,rank2_solution_changed_vs_original,rank1_same_oracle,rank2_same_oracle,rank1_edge_jaccard_with_oracle,rank2_edge_jaccard_with_oracle,rank2_edge_jaccard_with_rank1,rank1_solution_selected_edge_count,rank2_solution_selected_edge_count,num_added_arcs_in_oracle,num_added_arcs_in_rank1,num_added_arcs_in_rank2,num_removed_arcs_from_original_oracle,num_removed_arcs_from_original_rank1,num_removed_arcs_from_original_rank2,rank1_arc_key_signature,rank2_arc_key_signature,oracle_arc_key_signature
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,original,none,262,262,0,0,0,2stage_val_mse,199.7119015455246,0.0,0.0,False,141.33510053157806,197.3225005865097,58.37680101394653,2.3894009590148926,-55.98740005493164,0.29230506826027675,0.011964239189111428,-0.2803408290711653,False,False,False,True,False,False,False,False,0.38461538461538464,0.5714285714285714,0.27586206896551724,20.0,17.0,0,0,0,0,0,0,0->19|1->34|3->24|5->1|7->38|12->40|18->0|24->37|25->42|26->12|30->18|33->52|34->5|37->3|38->7|40->26|42->25|55->33|56->39|57->30,0->38|3->5|5->33|12->40|18->0|25->42|26->12|30->34|33->3|34->45|38->19|40->26|42->25|45->50|55->18|56->39|57->30,3->5|5->47|7->38|12->40|25->42|26->12|30->34|33->3|34->45|38->7|40->26|42->25|45->50|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,original,none,262,262,0,0,0,spoplus_val_spoplus_loss,199.7119015455246,0.0,0.0,False,197.3225005865097,141.79669976234436,2.3894009590148926,57.91520178318024,55.525800824165344,0.011964239189111428,0.28999374265979033,0.2780295034706789,False,False,True,False,False,False,False,False,0.5714285714285714,0.25925925925925924,0.4583333333333333,17.0,18.0,0,0,0,0,0,0,0->38|3->5|5->33|12->40|18->0|25->42|26->12|30->34|33->3|34->45|38->19|40->26|42->25|45->50|55->18|56->39|57->30,0->38|1->34|3->24|5->1|12->40|18->0|24->37|25->42|26->12|30->43|34->5|37->3|38->19|40->26|42->25|55->18|56->39|57->30,3->5|5->47|7->38|12->40|25->42|26->12|30->34|33->3|34->45|38->7|40->26|42->25|45->50|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,add25pct,add_fraction,262,328,66,66,0,2stage_val_mse,472.3195000588894,272.6075985133648,1.3650042706704864,True,414.52049803733826,419.8415961265564,57.79900202155113,52.47790393233299,-5.32109808921814,0.1223726778467167,0.1111067909025117,-0.011265886944204995,False,False,False,False,True,True,False,False,0.15789473684210525,0.17857142857142858,0.7073170731707317,35.0,35.0,12,16,14,0,0,0,0->10|1->46|3->24|4->12|5->6|6->38|10->50|12->31|13->1|14->15|15->39|18->0|19->22|20->19|22->20|24->37|25->42|26->34|30->43|31->4|34->29|37->3|38->5|39->14|40->26|41->13|42->25|43->49|45->52|47->45|49->30|52->47|55->18|56->41|57->40,0->10|1->34|3->24|4->12|5->6|6->38|10->33|12->31|13->52|14->15|15->39|18->0|19->22|20->19|22->20|24->37|25->42|26->45|29->1|30->43|31->4|34->29|37->3|38->5|39->14|40->26|41->13|42->25|43->49|45->50|49->30|52->47|55->18|56->41|57->40,1->37|3->5|4->12|5->47|7->38|10->15|12->31|13->26|14->39|15->10|19->24|24->43|25->42|26->29|30->34|31->4|33->3|34->52|37->1|38->7|39->14|40->45|41->13|42->25|43->19|45->50|50->49|52->30|55->33|56->41|57->40
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,add25pct,add_fraction,262,328,66,66,0,spoplus_val_spoplus_loss,472.3195000588894,272.6075985133648,1.3650042706704864,True,417.1984977722168,422.00199604034424,55.12100228667259,50.31750401854515,-4.803498268127441,0.11670278758273443,0.10653276862836485,-0.010170018954369586,False,False,False,False,True,True,False,False,0.17857142857142858,0.17857142857142858,0.7948717948717948,35.0,35.0,12,16,14,0,0,0,0->10|1->34|3->24|4->12|5->6|6->38|10->50|12->31|13->52|14->15|15->39|18->0|19->22|20->19|22->20|24->37|25->42|26->7|29->1|30->43|31->4|34->29|37->3|38->5|39->14|40->45|41->13|42->25|43->49|45->26|49->30|52->47|55->18|56->41|57->40,0->10|1->34|3->24|4->12|5->6|6->38|10->7|12->31|13->52|14->15|15->39|18->0|19->22|20->19|22->20|24->37|25->42|26->45|29->1|30->43|31->4|34->29|37->3|38->5|39->14|40->26|41->13|42->25|43->49|45->50|49->30|52->47|55->18|56->41|57->40,1->37|3->5|4->12|5->47|7->38|10->15|12->31|13->26|14->39|15->10|19->24|24->43|25->42|26->29|30->34|31->4|33->3|34->52|37->1|38->7|39->14|40->45|41->13|42->25|43->19|45->50|50->49|52->30|55->33|56->41|57->40
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,add25arcs,add_fixed,262,287,25,25,0,2stage_val_mse,326.5630971118808,126.85119556635618,0.6351709366576748,True,292.2615968808532,292.7933973893523,34.3015002310276,33.76969972252846,-0.5318005084991455,0.10503789477220338,0.1034094177238144,-0.0016284770483889766,False,False,False,False,True,True,False,False,0.2558139534883721,0.23255813953488372,0.9,29.0,28.0,10,9,9,0,0,0,1->34|2->7|3->24|5->1|7->2|10->18|11->51|15->41|17->20|18->10|19->40|24->37|25->42|26->15|30->17|34->5|37->3|38->11|39->49|40->45|41->44|42->25|45->19|49->0|51->38|52->30|55->52|56->39|57->26,1->34|2->7|3->24|5->1|7->2|10->18|11->51|15->41|17->20|18->10|19->40|24->37|25->42|26->15|30->17|34->5|37->3|38->11|39->49|40->45|41->44|42->25|45->19|49->39|51->38|52->30|55->52|57->26,2->7|3->5|5->51|7->2|10->15|11->38|15->10|17->20|18->30|19->40|25->42|26->45|27->19|30->17|34->52|38->11|39->49|40->27|42->25|45->50|49->34|51->3|55->18|56->39|57->26
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,add25arcs,add_fixed,262,287,25,25,0,spoplus_val_spoplus_loss,326.5630971118808,126.85119556635618,0.6351709366576748,True,292.2615968808532,288.04519733786583,34.3015002310276,38.51789977401495,4.216399542987347,0.10503789477220338,0.11794933387926787,0.012911439107064493,False,False,False,False,True,True,False,False,0.2558139534883721,0.20454545454545456,0.8387096774193549,29.0,28.0,10,9,8,0,0,0,1->34|2->7|3->24|5->1|7->2|10->18|11->51|15->41|17->20|18->10|19->40|24->37|25->42|26->15|30->17|34->5|37->3|38->11|39->49|40->45|41->44|42->25|45->19|49->0|51->38|52->30|55->52|56->39|57->26,1->34|3->24|5->1|7->18|10->7|11->51|15->41|17->20|18->10|19->40|24->37|25->42|26->15|30->17|34->5|37->3|38->11|39->49|40->45|41->44|42->25|45->19|49->0|51->38|52->30|55->52|56->39|57->26,2->7|3->5|5->51|7->2|10->15|11->38|15->10|17->20|18->30|19->40|25->42|26->45|27->19|30->17|34->52|38->11|39->49|40->27|42->25|45->50|49->34|51->3|55->18|56->39|57->26
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,remove25arcs,remove_fixed,262,237,-25,0,25,2stage_val_mse,199.7119015455246,0.0,0.0,False,197.3225005865097,193.4629007577896,2.3894009590148926,6.249000787734985,3.8595998287200928,0.011964239189111428,0.031290077052715,0.01932583786360357,False,False,True,True,True,True,False,False,0.5714285714285714,0.65,0.8888888888888888,17.0,17.0,0,0,0,0,1,0,0->38|3->5|5->33|12->40|18->0|25->42|26->12|30->34|33->3|34->45|38->19|40->26|42->25|45->50|55->18|56->39|57->30,0->38|3->5|5->33|12->40|18->0|25->42|26->12|30->34|33->3|34->45|38->7|40->26|42->25|45->50|55->18|56->39|57->30,3->5|5->47|7->38|12->40|25->42|26->12|30->34|33->3|34->45|38->7|40->26|42->25|45->50|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,remove25arcs,remove_fixed,262,237,-25,0,25,spoplus_val_spoplus_loss,199.7119015455246,0.0,0.0,False,197.3225005865097,193.4629007577896,2.3894009590148926,6.249000787734985,3.8595998287200928,0.011964239189111428,0.031290077052715,0.01932583786360357,False,False,True,True,False,True,False,False,0.5714285714285714,0.65,0.8888888888888888,17.0,17.0,0,0,0,0,0,1,0->38|3->5|5->33|12->40|18->0|25->42|26->12|30->34|33->3|34->45|38->19|40->26|42->25|45->50|55->18|56->39|57->30,0->38|3->5|5->33|12->40|18->0|25->42|26->12|30->34|33->3|34->45|38->7|40->26|42->25|45->50|55->18|56->39|57->30,3->5|5->47|7->38|12->40|25->42|26->12|30->34|33->3|34->45|38->7|40->26|42->25|45->50|55->33|56->39|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,remove25pct,remove_fraction,262,196,-66,0,66,2stage_val_mse,121.00330054759979,-78.7086009979248,-0.39411071843398915,True,101.30699956417084,100.73429954051971,19.696300983428955,20.269001007080078,0.572700023651123,0.16277490691684174,0.16750783586220636,0.004732928945364617,False,False,False,False,True,True,False,False,0.6153846153846154,0.5,0.8333333333333334,11.0,11.0,0,0,0,6,8,8,3->24|7->38|24->37|30->34|33->39|34->45|37->3|38->7|45->50|55->33|57->30,3->24|7->38|24->37|30->34|33->52|34->45|37->3|38->7|45->50|55->33|57->30,3->5|5->3|7->38|30->34|33->39|34->45|38->7|45->50|55->33|57->30
case_c_spoplus_fixes_2stage_002,case_c_spoplus_fixes_2stage,G-1560.json,30,remove25pct,remove_fraction,262,196,-66,0,66,spoplus_val_spoplus_loss,121.00330054759979,-78.7086009979248,-0.39411071843398915,True,101.30699956417084,100.73429954051971,19.696300983428955,20.269001007080078,0.572700023651123,0.16277490691684174,0.16750783586220636,0.004732928945364617,False,False,False,False,True,True,False,False,0.6153846153846154,0.5,0.8333333333333334,11.0,11.0,0,0,0,6,8,8,3->24|7->38|24->37|30->34|33->39|34->45|37->3|38->7|45->50|55->33|57->30,3->24|7->38|24->37|30->34|33->52|34->45|37->3|38->7|45->50|55->33|57->30,3->5|5->3|7->38|30->34|33->39|34->45|38->7|45->50|55->33|57->30
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,original,none,296,296,0,0,0,2stage_val_mse,258.470400467515,0.0,0.0,False,177.34979856014252,175.92399871349335,81.12060190737247,82.54640175402164,1.42579984664917,0.31384871056929403,0.31936500893098146,0.005516298361687433,False,False,False,False,False,False,False,False,0.4074074074074074,0.4074074074074074,0.8181818181818182,20.0,20.0,0,0,0,0,0,0,3->46|5->43|11->27|15->39|20->47|21->15|25->22|27->2|30->34|31->48|36->11|37->3|39->21|43->5|46->37|47->25|48->30|57->36|58->20|59->31,0->18|3->46|5->43|11->27|15->39|20->47|21->15|27->2|30->34|31->48|36->11|37->3|39->21|43->5|46->37|47->0|48->30|57->36|58->20|59->31,3->25|5->43|10->45|11->27|15->39|21->15|25->37|27->46|30->34|31->48|37->3|39->21|43->5|46->14|48->30|57->10|58->11|59->31
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,original,none,296,296,0,0,0,spoplus_val_spoplus_loss,258.470400467515,0.0,0.0,False,258.470400467515,251.92420114576817,0.0,6.546199321746826,6.546199321746826,0.0,0.025326688510099775,0.025326688510099775,True,False,True,True,False,False,True,False,1.0,0.8,0.8,18.0,18.0,0,0,0,0,0,0,3->25|5->43|10->45|11->27|15->39|21->15|25->37|27->46|30->34|31->48|37->3|39->21|43->5|46->14|48->30|57->10|58->11|59->31,3->25|5->43|10->45|11->27|15->39|25->37|27->46|30->34|31->48|35->15|37->3|39->35|43->5|46->14|48->30|57->10|58->11|59->31,3->25|5->43|10->45|11->27|15->39|21->15|25->37|27->46|30->34|31->48|37->3|39->21|43->5|46->14|48->30|57->10|58->11|59->31
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,add25pct,add_fraction,296,370,74,74,0,2stage_val_mse,564.2171019166708,305.7467014491558,1.182907988288518,True,415.1069003343582,413.4422003030777,149.11020158231258,150.7749016135931,1.6647000312805176,0.26427806083068783,0.2672285209029233,0.0029504600722354835,False,False,False,False,True,True,False,False,0.1694915254237288,0.1694915254237288,0.9487179487179487,38.0,38.0,11,20,20,0,0,0,1->24|3->13|5->43|8->48|9->8|10->45|11->36|12->46|13->28|15->39|17->6|18->32|19->18|21->15|22->12|24->1|25->0|27->37|28->3|30->42|31->51|32->19|33->41|36->11|37->38|38->27|39->21|40->50|42->30|43->5|45->17|46->22|48->9|50->33|51->25|57->10|58->40|59->31,1->24|3->13|5->43|8->48|9->8|10->45|11->36|12->46|13->28|15->39|17->6|18->32|19->18|21->15|22->12|24->1|25->34|27->37|28->3|30->42|31->51|32->19|33->41|36->11|37->38|38->27|39->21|40->50|42->30|43->5|45->17|46->22|48->9|50->33|51->25|57->10|58->40|59->31,0->8|1->0|2->17|3->11|5->38|8->1|10->45|11->37|12->46|15->39|17->27|18->32|21->15|22->12|27->2|30->43|31->51|32->26|34->18|36->28|37->3|38->36|39->21|43->48|45->19|46->22|48->30|51->31|57->10|58->5|59->34
