case_id,case_label,base_graph_id,subset_seed,density_variant,arc_delta_type,original_num_arcs,variant_num_arcs,arc_delta,added_arc_count,removed_arc_count,method_label,oracle_obj,oracle_obj_delta_vs_original,oracle_obj_relative_delta_vs_original,oracle_solution_changed_vs_original,rank1_true_obj,rank2_true_obj,rank1_gap_to_oracle,rank2_gap_to_oracle,rank2_minus_rank1_gap_to_oracle,rank1_normalized_gap_to_oracle,rank2_normalized_gap_to_oracle,rank2_minus_rank1_normalized_gap,rank1_near_1pct,rank2_near_1pct,rank1_near_5pct,rank2_near_5pct,rank1_solution_changed_vs_original,rank2_solution_changed_vs_original,rank1_same_oracle,rank2_same_oracle,rank1_edge_jaccard_with_oracle,rank2_edge_jaccard_with_oracle,rank2_edge_jaccard_with_rank1,rank1_solution_selected_edge_count,rank2_solution_selected_edge_count,num_added_arcs_in_oracle,num_added_arcs_in_rank1,num_added_arcs_in_rank2,num_removed_arcs_from_original_oracle,num_removed_arcs_from_original_rank1,num_removed_arcs_from_original_rank2,rank1_arc_key_signature,rank2_arc_key_signature,oracle_arc_key_signature
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,add25pct,add_fraction,296,370,74,74,0,spoplus_val_spoplus_loss,564.2171019166708,305.7467014491558,1.182907988288518,True,415.1069003343582,413.4422003030777,149.11020158231258,150.7749016135931,1.6647000312805176,0.26427806083068783,0.2672285209029233,0.0029504600722354835,False,False,False,False,True,True,False,False,0.1694915254237288,0.1694915254237288,0.9487179487179487,38.0,38.0,11,20,20,0,0,0,1->24|3->13|5->43|8->48|9->8|10->45|11->36|12->46|13->28|15->39|17->6|18->32|19->18|21->15|22->12|24->1|25->0|27->37|28->3|30->42|31->51|32->19|33->41|36->11|37->38|38->27|39->21|40->50|42->30|43->5|45->17|46->22|48->9|50->33|51->25|57->10|58->40|59->31,1->24|3->13|5->43|8->48|9->8|10->45|11->36|12->46|13->28|15->39|17->6|18->32|19->18|21->15|22->12|24->1|25->34|27->37|28->3|30->42|31->51|32->19|33->41|36->11|37->38|38->27|39->21|40->50|42->30|43->5|45->17|46->22|48->9|50->33|51->25|57->10|58->40|59->31,0->8|1->0|2->17|3->11|5->38|8->1|10->45|11->37|12->46|15->39|17->27|18->32|21->15|22->12|27->2|30->43|31->51|32->26|34->18|36->28|37->3|38->36|39->21|43->48|45->19|46->22|48->30|51->31|57->10|58->5|59->34
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,add25arcs,add_fixed,296,321,25,25,0,2stage_val_mse,379.23560404777527,120.76520358026028,0.46723030320618186,True,366.71560275554657,360.9142025709152,12.520001292228699,18.321401476860046,5.801400184631348,0.03301378129733421,0.048311396085330756,0.015297614787996544,False,False,True,True,True,True,False,False,0.6785714285714286,0.6206896551724138,0.92,24.0,24.0,5,6,6,0,0,0,0->27|3->46|5->43|10->45|11->19|18->28|19->50|21->2|25->0|27->25|28->39|31->41|35->38|36->35|37->3|38->36|39->18|41->21|43->5|46->37|50->44|57->10|58->11|59->31,0->27|3->46|5->43|10->45|11->19|18->28|19->50|21->2|25->0|27->25|28->39|31->41|35->38|36->35|37->3|38->36|39->18|41->21|43->5|46->37|50->16|57->10|58->11|59->31,0->27|3->46|5->43|11->19|15->39|19->50|21->2|25->0|27->25|31->41|35->38|36->35|37->3|38->36|39->49|41->21|43->5|46->37|49->1|50->44|57->15|58->11|59->31
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,add25arcs,add_fixed,296,321,25,25,0,spoplus_val_spoplus_loss,379.23560404777527,120.76520358026028,0.46723030320618186,True,366.71560275554657,335.32680118083954,12.520001292228699,43.90880286693573,31.38880157470703,0.03301378129733421,0.11578238540410993,0.08276860410677572,False,False,True,False,True,True,False,False,0.6785714285714286,0.6551724137931034,0.8148148148148148,24.0,25.0,5,6,6,0,0,0,0->27|3->46|5->43|10->45|11->19|18->28|19->50|21->2|25->0|27->25|28->39|31->41|35->38|36->35|37->3|38->36|39->18|41->21|43->5|46->37|50->44|57->10|58->11|59->31,0->27|3->46|5->43|11->19|18->28|19->50|21->2|25->0|27->25|28->39|30->34|31->41|35->38|36->35|37->3|38->36|39->18|41->21|43->5|46->37|48->30|50->44|57->48|58->11|59->31,0->27|3->46|5->43|11->19|15->39|19->50|21->2|25->0|27->25|31->41|35->38|36->35|37->3|38->36|39->49|41->21|43->5|46->37|49->1|50->44|57->15|58->11|59->31
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,remove25arcs,remove_fixed,296,271,-25,0,25,2stage_val_mse,232.8853006362915,-25.585099831223488,-0.09898657558059175,True,206.26779890060425,171.82649838924408,26.617501735687256,61.058802247047424,34.44130051136017,0.11429446883443636,0.2621840110988533,0.14788954226441695,False,False,False,False,True,True,False,False,0.7,0.4782608695652174,0.7142857142857143,18.0,18.0,0,0,0,2,1,1,3->46|5->43|11->27|15->39|20->42|21->15|27->2|30->34|31->7|36->11|37->3|39->21|42->30|43->5|46->37|57->36|58->20|59->31,3->46|5->43|11->27|15->39|20->47|21->15|25->22|27->2|31->7|36->11|37->3|39->21|43->5|46->37|47->25|57->36|58->20|59->31,3->46|5->43|10->45|15->39|20->42|21->15|30->34|31->7|37->3|39->21|42->30|43->5|46->37|57->10|58->20|59->31
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,remove25arcs,remove_fixed,296,271,-25,0,25,spoplus_val_spoplus_loss,232.8853006362915,-25.585099831223488,-0.09898657558059175,True,206.26779890060425,204.50429916381836,26.617501735687256,28.381001472473145,1.7634997367858887,0.11429446883443636,0.1218668649107884,0.007572396076352031,False,False,False,False,True,True,False,False,0.7,0.7,0.8,18.0,18.0,0,0,0,2,2,2,3->46|5->43|11->27|15->39|20->42|21->15|27->2|30->34|31->7|36->11|37->3|39->21|42->30|43->5|46->37|57->36|58->20|59->31,3->46|5->43|11->19|15->39|19->18|20->42|21->15|30->34|31->7|36->11|37->3|39->21|42->30|43->5|46->37|57->36|58->20|59->31,3->46|5->43|10->45|15->39|20->42|21->15|30->34|31->7|37->3|39->21|42->30|43->5|46->37|57->10|58->20|59->31
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,remove25pct,remove_fraction,296,222,-74,0,74,2stage_val_mse,199.7775001525879,-58.6929003149271,-0.22707784028176847,True,199.7775001525879,174.85539910197258,0.0,24.92210105061531,24.92210105061531,0.0,0.12474928874100102,0.12474928874100102,True,False,True,False,True,True,True,False,1.0,0.7142857142857143,0.7142857142857143,11.0,13.0,0,0,0,5,6,6,11->27|15->39|27->46|31->7|35->15|36->28|39->35|46->14|57->36|58->11|59->31,11->27|15->39|22->30|27->46|30->34|31->7|35->15|36->22|39->35|46->14|57->36|58->11|59->31,11->27|15->39|27->46|31->7|35->15|36->28|39->35|46->14|57->36|58->11|59->31
case_c_spoplus_fixes_2stage_001,case_c_spoplus_fixes_2stage,G-392.json,1,remove25pct,remove_fraction,296,222,-74,0,74,spoplus_val_spoplus_loss,199.7775001525879,-58.6929003149271,-0.22707784028176847,True,174.85539910197258,170.28329932689667,24.92210105061531,29.494200825691223,4.5720997750759125,0.12474928874100102,0.14763524822873567,0.02288595948773464,False,False,False,False,True,True,False,False,0.7142857142857143,0.6,0.5294117647058824,13.0,13.0,0,0,0,5,5,4,11->27|15->39|22->30|27->46|30->34|31->7|35->15|36->22|39->35|46->14|57->36|58->11|59->31,11->27|15->39|27->46|31->7|34->18|35->15|36->51|39->35|46->14|51->31|57->36|58->11|59->34,11->27|15->39|27->46|31->7|35->15|36->28|39->35|46->14|57->36|58->11|59->31
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,1,original,none,252,252,0,0,0,2stage_val_mse,218.92489886283875,0.0,0.0,False,218.78399991989136,216.68869996070862,0.1408989429473877,2.236198902130127,2.0952999591827393,0.000643594875131222,0.010214456709745657,0.009570861834614435,True,False,True,True,False,False,False,False,0.6818181818181818,0.7142857142857143,0.9473684210526315,19.0,18.0,0,0,0,0,0,0,0->48|5->0|14->33|16->53|20->52|22->35|23->16|28->5|29->23|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->29,5->0|14->33|16->53|20->52|22->35|23->16|28->5|29->23|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->29,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,1,original,none,252,252,0,0,0,spoplus_val_spoplus_loss,218.92489886283875,0.0,0.0,False,218.78399991989136,210.71310091018677,0.1408989429473877,8.211797952651978,8.07089900970459,0.000643594875131222,0.037509657399724734,0.03686606252459351,True,False,True,True,False,False,False,False,0.6818181818181818,0.6086956521739131,0.8095238095238095,19.0,19.0,0,0,0,0,0,0,0->48|5->0|14->33|16->53|20->52|22->35|23->16|28->5|29->23|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->29,0->48|14->33|16->53|20->52|22->35|23->16|28->0|29->23|31->38|33->51|35->41|38->31|41->22|48->44|51->43|52->20|64->28|65->14|66->29,5->0|14->51|16->53|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|48->44|51->48|52->20|64->28|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,1,add25pct,add_fraction,252,315,63,63,0,2stage_val_mse,464.4710015654564,245.54610270261765,1.1215997082929232,True,432.53620020113885,446.96940032206476,31.934801364317536,17.501601243391633,-14.433200120925903,0.06875521024265346,0.037680718891742286,-0.031074491350911178,False,False,False,True,True,True,False,False,0.36,0.3958333333333333,0.9210526315789473,37.0,36.0,16,15,14,0,0,0,0->18|1->40|2->23|3->33|4->31|5->0|9->24|11->20|12->3|13->47|14->13|17->2|18->5|19->4|20->52|22->25|23->17|24->9|25->26|28->35|29->38|31->19|32->53|33->12|35->44|38->51|40->45|41->22|44->28|45->1|47->50|51->43|52->11|53->32|64->41|65->14|66->29,0->18|1->40|2->23|3->33|4->31|5->0|9->24|12->3|13->47|14->13|17->2|18->5|19->4|20->52|22->25|23->17|24->9|25->26|28->35|29->38|31->19|32->53|33->12|35->44|38->51|40->45|41->22|44->28|45->1|47->50|51->43|52->20|53->32|64->41|65->14|66->29,0->18|1->40|3->33|4->51|5->19|9->24|12->3|13->47|14->13|17->6|18->32|19->4|20->31|22->35|23->17|24->9|28->44|29->23|31->52|32->0|33->12|35->41|40->45|41->22|44->28|45->1|47->50|52->20|64->5|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,1,add25pct,add_fraction,252,315,63,63,0,spoplus_val_spoplus_loss,464.4710015654564,245.54610270261765,1.1215997082929232,True,443.9417998790741,459.18229883909225,20.529201686382294,5.288702726364136,-15.240498960018158,0.04419910310255393,0.011386507895062702,-0.032812595207491226,False,False,True,True,True,True,False,False,0.3958333333333333,0.5714285714285714,0.6904761904761905,36.0,35.0,16,15,14,0,0,0,0->18|1->40|2->23|3->33|4->31|5->0|9->24|12->3|13->47|14->13|17->2|18->5|19->4|20->28|22->35|23->17|24->9|28->52|29->7|31->19|32->53|33->12|35->41|38->51|40->45|41->22|43->48|44->29|45->1|47->50|51->43|52->20|53->32|64->38|65->14|66->44,0->18|1->40|3->33|4->31|5->0|9->24|12->3|13->47|14->13|17->6|18->5|19->4|20->52|22->35|23->17|24->9|28->44|29->23|31->19|32->53|33->12|35->41|38->51|40->45|41->22|43->48|44->28|45->1|47->50|51->43|52->20|53->32|64->38|65->14|66->29,0->18|1->40|3->33|4->51|5->19|9->24|12->3|13->47|14->13|17->6|18->32|19->4|20->31|22->35|23->17|24->9|28->44|29->23|31->52|32->0|33->12|35->41|40->45|41->22|44->28|45->1|47->50|52->20|64->5|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,1,add25arcs,add_fixed,252,277,25,25,0,2stage_val_mse,276.11089873313904,57.18599987030029,0.261212864170962,True,276.11089873313904,257.1066999435425,0.0,19.004198789596558,19.004198789596558,0.0,0.06882813708811716,0.06882813708811716,True,False,True,False,True,True,True,False,1.0,0.7272727272727273,0.7272727272727273,19.0,19.0,3,3,2,0,0,0,0->39|5->0|10->29|14->51|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|44->30|51->44|52->20|64->28|65->14|66->10,0->39|5->0|10->29|14->33|20->52|22->35|23->16|28->5|29->23|31->38|33->51|35->41|38->31|41->22|51->43|52->20|64->28|65->14|66->10,0->39|5->0|10->29|14->51|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|44->30|51->44|52->20|64->28|65->14|66->10
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,1,add25arcs,add_fixed,252,277,25,25,0,spoplus_val_spoplus_loss,276.11089873313904,57.18599987030029,0.261212864170962,True,275.95339846611023,276.11089873313904,0.1575002670288086,0.0,-0.1575002670288086,0.0005704239410718157,0.0,-0.0005704239410718157,True,True,True,True,True,True,False,True,0.9,1.0,0.9,19.0,19.0,3,3,3,0,0,0,0->39|5->0|10->29|14->51|20->52|22->35|23->11|28->5|29->23|31->38|35->41|38->31|41->22|44->30|51->44|52->20|64->28|65->14|66->10,0->39|5->0|10->29|14->51|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|44->30|51->44|52->20|64->28|65->14|66->10,0->39|5->0|10->29|14->51|20->52|22->35|23->16|28->5|29->23|31->38|35->41|38->31|41->22|44->30|51->44|52->20|64->28|65->14|66->10
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,1,remove25arcs,remove_fixed,252,227,-25,0,25,2stage_val_mse,178.6355016231537,-40.28939723968506,-0.18403296038486353,True,178.6355016231537,177.57300066947937,0.0,1.0625009536743164,1.0625009536743164,0.0,0.0059478711902956555,0.0059478711902956555,True,True,True,True,True,True,True,False,1.0,0.7647058823529411,0.7647058823529411,15.0,15.0,0,0,0,6,5,5,14->33|16->53|19->0|22->35|23->16|29->23|31->19|33->51|35->41|38->31|41->22|51->43|64->38|65->14|66->29,14->51|16->53|19->0|22->35|23->16|29->23|31->19|35->41|38->31|41->22|43->48|51->43|64->38|65->14|66->29,14->33|16->53|19->0|22->35|23->16|29->23|31->19|33->51|35->41|38->31|41->22|51->43|64->38|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,1,remove25arcs,remove_fixed,252,227,-25,0,25,spoplus_val_spoplus_loss,178.6355016231537,-40.28939723968506,-0.18403296038486353,True,178.6355016231537,177.57300066947937,0.0,1.0625009536743164,1.0625009536743164,0.0,0.0059478711902956555,0.0059478711902956555,True,True,True,True,True,True,True,False,1.0,0.7647058823529411,0.7647058823529411,15.0,15.0,0,0,0,6,5,4,14->33|16->53|19->0|22->35|23->16|29->23|31->19|33->51|35->41|38->31|41->22|51->43|64->38|65->14|66->29,14->51|16->53|19->0|22->35|23->16|29->23|31->19|35->41|38->31|41->22|43->48|51->43|64->38|65->14|66->29,14->33|16->53|19->0|22->35|23->16|29->23|31->19|33->51|35->41|38->31|41->22|51->43|64->38|65->14|66->29
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,1,remove25pct,remove_fraction,252,189,-63,0,63,2stage_val_mse,142.53599953651428,-76.38889932632446,-0.34892741631085,True,136.97810053825378,117.56460046768188,5.557898998260498,24.971399068832397,19.4135000705719,0.03899294926400475,0.1751936293277274,0.13620068006372266,False,False,True,False,True,True,False,False,0.5882352941176471,0.5882352941176471,0.75,14.0,14.0,0,0,0,5,6,6,0->48|5->0|14->33|22->25|28->5|31->38|33->51|35->41|38->31|41->22|51->44|64->28|65->14|66->35,0->48|5->0|14->33|22->25|23->16|28->5|31->38|33->23|35->41|38->31|41->22|64->28|65->14|66->35,5->0|14->51|22->25|28->5|31->38|35->41|38->31|41->22|48->44|51->48|64->28|65->14|66->35
case_b_different_solution_near_optimal_001,case_b_different_solution_near_optimal,G-696.json,1,remove25pct,remove_fraction,252,189,-63,0,63,spoplus_val_spoplus_loss,142.53599953651428,-76.38889932632446,-0.34892741631085,True,142.53599953651428,136.97810053825378,0.0,5.557898998260498,5.557898998260498,0.0,0.03899294926400475,0.03899294926400475,True,False,True,True,True,True,True,False,1.0,0.5882352941176471,0.5882352941176471,13.0,14.0,0,0,0,5,6,6,5->0|14->51|22->25|28->5|31->38|35->41|38->31|41->22|48->44|51->48|64->28|65->14|66->35,0->48|5->0|14->33|22->25|28->5|31->38|33->51|35->41|38->31|41->22|51->44|64->28|65->14|66->35,5->0|14->51|22->25|28->5|31->38|35->41|38->31|41->22|48->44|51->48|64->28|65->14|66->35
